Names	Sample	Transect	Time_Point	Hour	Replicate	Time	Tide	Direction	High/Low	Lab	Sample_or_Control	Date	Time_Label
Blank.090617.S67.L001	Blank 090617	NA	NA	NA	NA	NA	NA	NA	NA	field	control	NA	NA
Blank.niskin.S68.L001	Blank Niskin	NA	NA	NA	NA	NA	NA	NA	NA	field	control	NA	NA
GC.tissue.S69.L001	Grass Carp Tissue	NA	NA	NA	NA	NA	NA	NA	NA	lab	control	NA	NA
GrassPCR.Neg.ctrl.S71.L001	Negative Control	NA	NA	NA	NA	NA	NA	NA	NA	lab	control	NA	NA
Grass.Pos.ctrl.S70.L001	Positive Control	NA	NA	NA	NA	NA	NA	NA	NA	lab	control	NA	NA
T0.A	DK0.A	Dock	T00	T00	A	0	0.61m	rising 	slack	field	sample	9/6/17 6:00	T00
T0.B	DK0.B	Dock	T00	T00	B	0	0.61m	rising 	slack	field	sample	9/6/17 6:00	 
T0.C	DK0.C	Dock	T00	T00	C	0	0.61m	rising 	slack	field	sample	9/6/17 6:00	 
T1.A	DK1.A	Dock	T01	T01.5	A	1.5	1.16m	rising 	high	field	sample	9/6/17 7:30	T01
T1.B	DK1.B	Dock	T01	T01.5	B	1.5	1.16m	rising 	high	field	sample	9/6/17 7:30	 
T1.C	DK1.C	Dock	T01	T01.5	C	1.5	1.16m	rising 	high	field	sample	9/6/17 7:30	 
T2.A	DK2.A	Dock	T02	T03	A	3	1.46m	no change	high	field	sample	9/6/17 9:00	T02
T2.B	DK2.B	Dock	T02	T03	B	3	1.46m	no change	high	field	sample	9/6/17 9:00	 
T2.C	DK2.C	Dock	T02	T03	C	3	1.46m	no change	high	field	sample	9/6/17 9:00	 
T3.A	DK3.A	Dock	T03	T04.5	A	4.5	1.37m	lowering	high	field	sample	9/6/17 10:30	T03
T3.B	DK3.B	Dock	T03	T04.5	B	4.5	1.37m	lowering	high	field	sample	9/6/17 10:30	 
T3.C	DK3.C	Dock	T03	T04.5	C	4.5	1.37m	lowering	high	field	sample	9/6/17 10:30	 
T4.A	DK4.A	Dock	T04	T06	A	6	1.04m	lowering	slack	field	sample	9/6/17 12:00	T04
T4.B	DK4.B	Dock	T04	T06	B	6	1.04m	lowering	slack	field	sample	9/6/17 12:00	 
T4.C	DK4.C	Dock	T04	T06	C	6	1.04m	lowering	slack	field	sample	9/6/17 12:00	 
